类型代码,面对象分类,线对象分类,点对象分类
981118,1004,,3017
981119,1004,,3017
981120,1004,,3017
981121,1004,,3017
981122,1004,,3017
981123,1004,,3017
981124,1004,,3017
981125,1004,,3017
981126,1004,,3017
981127,,,3017
981128,1004,,3017
981129,1004,,3017
981130,1004,,3017
981131,1004,,3017
981132,1004,,3017
981133,1004,,3017
981134,1004,,3017
981135,1004,,3017
981136,1004,,3017
981137,1004,,3017
981138,1004,,3017
981139,1004,,3017
981140,1004,,3017
981141,1004,,3017
981142,1004,,3017
981143,1004,,3017
981144,1004,,3017
981145,1004,,3017
981146,1004,,3017
981147,1004,,3017
981148,1004,,3017
981149,1004,,3017
981150,1004,,3017
981151,1004,,3017
981152,1004,,3017
981153,1004,,3017
981154,1004,,3017
981155,1004,,3017
981156,1004,,3017
981157,1004,,3017
981203,1004,,3017
981206,1004,,3017
981207,,,3017
981208,1004,,3017
981209,1006,,3018
981210,1006,,3018
981211,1006,,3018
981212,1006,,3018
981213,1006,,3018
981215,1006,,3018
981214,1004,
980804,1004,
980805,1004,,3017
990100,,,3010
990200,,,3008
990300,,,3009
990400,,,3009
990500,,,3009
990700,,,3007
990800,,,3007
990900,,,3007
991000,,,3007
991001,,,3007
991100,,,3007


981209,1006,3018
981210,1006,3018
981211,1006,3018
981212,1006,3018
981213,1006,3018
981215,1006,3018
4017,,2017,3201
1039,1039,,3202

品牌代码,面对象分类,线对象分类,点对象分类


POIID,面对象分类,线对象分类,点对象分类

30100083,1101,,3101
30400817,1102,,3102
30030076,1103,,3103
30030075,1104,,3104
30180225,1105,,3105
41691380,1106,,3106
A001,1106,,3104

